k_fine,median_rho,p25_rho,players
20,0.4822860962566845,0.40274064171123,685
40,0.49064171122994654,0.4207887700534759,685
60,0.48696524064171126,0.42479946524064177,685
100,0.48195187165775405,0.43081550802139046,685
150,0.48028074866310166,0.43014705882352944,685
250,0.4772727272727273,0.4324866310160428,685
